部品番号,部品名,シンワ倉庫,アラン,ゆーや,しゅん,たくや,合計,最終更新
30644,電磁弁2/2ETV211NW1.5,6,1,3,1,4,15,7/16 19:51
30648,ミルクディバージョンバルブ Y70,9,1,2,3,4,19,7/16 18:52
30653,パワーサプライ　XT用,0,0,0,0,1,1,5/31 19:15
30697,シリコンチューブD4/7,8,0,-5,1,6,10,7/17 10:29
30741,XT8 コントロールボード,2,0,0,0,0,2,5/31 19:15
30797,XTグラインダー,0,0,0,0,0,0,5/31 19:15
30802,グラインダー1 XT4,1,0,0,0,0,1,5/31 19:15
30803,グラインダー2　XT4,1,0,0,0,0,1,5/31 19:15
30968,SP ピストンユニット XT8,0,0,1,1,1,3,5/31 19:15
31007,新スリーブ,0,2,1,0,0,3,5/31 19:15
31008,新スタンプ,0,0,0,0,0,0,5/31 19:15
31180,ケーブルハーネス ピストンモーターXT6,0,1,1,0,1,3,6/25 22:24
31371,ヒーティングエレメント200V,1,1,1,1,0,4,5/31 19:15
31526,グラインダーモーター（ミルモーター）,1,1,0,1,1,4,7/18 15:21
31532,背面LEDプラグコネクター,0,0,0,0,0,0,5/31 19:15
31616,Y91電磁弁　XT4,0,0,0,0,1,1,5/31 19:15
31632,エルボーユニオンD6-G1/4 →39704に変更,0,0,0,0,0,0,5/31 19:15
31634,バーキューブ　Tスクリュー D6-G1/4,0,0,0,0,0,0,5/31 19:15
31740,温度センサー 750mm,6,0,1,1,2,10,6/29 13:55
31863,旧セルフキット一式,0,0,0,0,0,0,5/31 19:15
31877,旧型アウトレットXT6 抽出口,0,1,1,1,1,4,7/16 13:04
31888,ローソン用排水セット,6,1,1,1,0,9,7/10 22:14
31902,Assy support access (セルフカバーマシン側),0,0,0,0,0,0,5/31 19:15
31924,ミルクレベルケーブル,1,1,1,0,0,3,5/31 19:15
32174,ボタン電池,12,3,8,3,0,26,6/26 14:26
32468,C35 mcsディスプレイ,0,0,0,0,0,0,5/31 19:15
32532,LEDコネクター,0,2,0,0,0,2,5/31 19:15
32709,プロテクトシート,0,0,0,0,0,0,5/31 19:15
32910,SDカード1GB,2,0,0,1,0,3,5/31 19:15
32936,メイン基板CT/XT V2,2,0,1,1,1,5,7/11 10:25
32975,ショートホッパーXT,0,0,0,0,0,0,5/31 19:15
32979,デカフェシューター,0,0,0,0,0,0,5/31 19:15
32997,インスタント　メッシュ,0,1,0,0,0,1,5/31 19:15
33004,テレメトリーアップデートBOX,0,0,0,0,0,0,5/31 19:15
33041,Right-ajgle connector D8-D6,0,0,0,0,0,0,5/31 19:15
33159,Wi-Fi USB-Adapter（ドングル）,0,1,0,0,0,1,7/18 15:42
33163,WiFi Assy,0,0,0,0,0,0,5/31 19:15
33211,ヒーター,0,0,0,1,0,1,5/31 19:15
33213,排水センサー,1,0,0,1,1,3,5/31 19:15
33221,チューブコネクション　XT8.,4,0,0,0,0,4,5/31 19:15
33222,XT8 スプレイ,1,0,0,2,0,3,5/31 19:15
33344,負圧弁　(24639),0,4,3,2,3,12,7/18 15:29
33386,磁石carrier forカバー,-1,1,1,0,1,2,5/31 19:15
33400,Steam boiler XT8 200V (SP 37584),1,0,0,0,0,1,6/9 08:33
33405,ホッパー蓋（鍵付き）,0,0,0,0,0,0,5/31 19:15
33411,Reed contact,7,1,2,0,0,10,5/31 19:15
33440,XT8 スチームボイラー　200v,0,0,0,0,0,0,5/31 19:15
33529,Oリングセット forプロコン,3,0,0,0,0,3,5/31 19:15
33560,ディスプレイC35,0,1,0,0,0,1,5/31 19:15
33567,ディストリビューター,0,0,1,0,0,1,5/31 19:15
33592,新型アウトレット XT4 抽出口,0,1,1,1,1,4,7/13 14:58
33665,XT8　スライダー,0,0,0,0,0,0,5/31 19:15
33881,オーリング 5.6×2.4,0,0,0,0,6,6,5/31 19:15
33996,XT8 エジェクションリング V2,1,0,0,1,0,2,5/31 19:15
34051,グラインダー1XT,4,2,1,1,2,10,7/18 15:21
34052,グラインダー2 XT,2,1,1,1,1,6,7/10 12:10
34053,グラインダーカッター上下,0,0,2,2,0,4,5/31 19:15
34265,V-CLAMPQRC,0,0,0,1,0,1,5/31 19:15
34368,SP set LEDシグナルXT,3,0,1,0,0,4,7/11 09:55
34438,XT 新ショートホッパー,2,1,1,1,2,7,7/18 15:23
34473,XTホッパー　TOオーダー用,1,0,0,0,1,2,7/11 10:27
34719,CT8 エジェクションリング,0,0,0,0,0,0,5/31 19:15
34906,CT8 ヒーターシール 42.8*19.3*4.8FKM,21,1,3,2,4,31,7/15 20:54
34992,ギヤポンプ(ミルクポンプ),1,1,1,0,0,3,5/31 19:15
34999,圧力センサーコネクター,0,0,0,0,0,0,5/31 19:15
35060,XT8 シーブ,1,0,0,2,0,3,5/31 19:15
35133,ミルクポンプ　XT4,1,0,1,0,1,3,7/15 16:58
35241,タッチパネル XT4,0,0,0,0,0,0,5/31 19:15
35366,Power Code,0,0,0,0,0,0,5/31 19:15
35481,電磁弁用メンブラン2/2WAY,0,0,0,0,0,0,5/31 19:15
35625,新サーキュラージェットノズル,0,2,2,1,1,6,7/18 15:22
35626,新スチームジェットノズル,14,3,2,2,6,27,7/10 12:08
35669,ミルクドアMC18（25999）,4,0,1,1,1,7,6/26 15:13
35710,【使用不可】Ball bearing slide 330 reworked,2,2,0,0,0,4,6/29 13:53
35916,メインスイッチ 2-PIN,0,0,1,1,1,3,7/8 16:55
35937,Kugelauszug KA1730/300 (1 Paar),5,0,2,2,3,12,7/1 12:16
36103,インレイ　ビーンホッパー,0,0,0,0,0,0,5/31 19:15
36116,コントロールカード,1,0,0,0,0,1,5/31 19:15
36219,クリーニングチャンバーセンサー,0,0,0,0,1,1,5/31 19:15
36469,ホースノズル排水パイプ,4,0,0,0,0,4,5/31 19:15
36664,raised  bean  hopper  XT,0,0,0,0,0,0,5/31 19:15
36683,クリーニングタブレット,0,0,0,0,0,0,5/31 19:15
36693,ET-set ASSY XT6,0,0,0,0,0,0,5/31 19:15
36710,XT4 ホルダーMMI,1,0,1,0,0,2,5/31 19:15
36793,Assy. pump for outlet ventilation V2,1,0,1,1,0,3,5/31 19:15
36826,下置きミルクコンプレッサー,1,0,0,0,0,1,5/31 19:15
36828,Assy.back  panel  MCU-XT,0,0,0,0,0,0,5/31 19:15
36960,ミルククーラーTS-14B-1,0,0,0,0,0,0,5/31 19:15
37226,3/8ポンプヘッド用ニップル,0,0,0,0,0,0,5/31 19:15
37247,LEDバー　EVO,0,0,0,0,0,0,5/31 19:15
37332,新セルフカバー,3,0,1,2,1,7,7/15 21:25
37362,新セルフキット（本体+MC）,0,0,0,0,0,0,5/31 19:15
37584,スチームボイラー 4100Ｗ 200Ｖ,0,0,1,1,0,2,5/31 19:15
37669,コントロールボード,1,0,0,1,1,3,5/31 19:15
38161,新セルフキット（ブラック）,0,0,0,0,0,0,5/31 19:15
38162,MC18コンバージョンキット1513,0,0,0,0,0,0,5/31 19:15
38852,六角穴付ボタンボルト,0,0,0,0,0,0,5/31 19:15
38853,新アウトレットカバー変更用パーツキット,0,0,0,1,1,2,7/15 21:25
39556,XT4 タッチパネル,1,0,0,0,1,2,5/31 19:15
39704,エルボユニオン D6-G1,13,2,-1,1,4,19,7/18 15:22
40021,新ミルクコンプレッサーMC18,0,0,0,0,0,0,5/31 19:15
40275,filter  H32  (21gr<),0,0,0,0,0,0,5/31 19:15
40424,#702969 SP Pressure,0,0,0,0,0,0,5/31 19:15
41295,新パネルXT6,0,0,0,0,0,0,5/31 19:15
41298,CT8 ディスプレイ,0,0,0,0,0,0,5/31 19:15
41308,NEW キットA,0,0,0,0,0,0,5/31 19:15
41309,NEW キットB,0,0,0,0,0,0,5/31 19:15
41310,キットC,0,0,0,0,0,0,5/31 19:15
41559,Protective cap for device plug プロテクトキャップ,0,0,0,0,0,0,5/31 19:15
41560,パワーサプライ,0,0,0,0,0,0,5/31 19:15
42009,SP brewing unit V3 ユニット,0,0,0,0,0,0,7/17 19:08
42106,AIMC-0003A COMPLETE FILTER HOLDER,0,0,0,0,0,0,5/31 19:15
42163,Assy. MMI CT6 XGA パネル,1,0,0,0,0,1,5/31 19:15
42210,complete filter folder,0,0,0,0,0,0,5/31 19:15
42265,コントロールボード V4 XT/CT US/JP,0,0,0,0,0,0,5/31 19:15
42438,SP set assy.MMI XT6-XGA Linuxパネル,0,0,0,0,0,0,5/31 19:15
42440,タッチパネル　XT8,0,0,0,1,0,1,7/1 12:07
42441,SP set assy. MMI CT8/F-XGAパネル,1,0,0,0,1,2,5/31 19:15
42750,evo ボイラー ７L,0,0,0,0,0,0,5/31 19:15
43117,コントロールボード　V3,0,0,0,0,1,1,5/31 19:15
43220,マグネットシート,4,0,0,1,0,5,7/15 21:37
43341,K30 分圧器(6319000),0,0,0,0,0,0,5/31 19:15
44548,新Aキット,23,7,4,3,2,39,7/17 14:10
44549,新Bキット,17,6,4,7,2,36,7/17 14:10
44550,新Cキット,21,8,3,12,3,47,7/18 15:31
44551,新Dキット,1,0,0,0,0,1,5/31 19:15
44552,新Eキット,3,3,0,1,1,8,7/17 14:10
44553,新Fキット,3,1,1,1,0,6,7/17 15:44
46104,新Gキット,35,7,0,0,0,42,7/2 15:43
46245,MCD用 ピスコ ボールバルブ,4,1,1,1,0,7,7/14 12:06
46313,Assy. tamp KDX V3 スタンプ,0,0,0,0,0,0,7/6 10:05
46957,新Iキット,0,0,1,0,1,2,7/15 22:35
46994,スチームタップ左,0,0,1,0,0,1,5/31 19:15
47650,H キット,18,0,0,0,0,18,7/2 15:43
47964,Y11 Solenoid valve 2/2-way ETV-222 NC NW2 AD4,0,0,1,0,2,3,6/9 16:42
48791,丸ワッシャー,10,0,0,0,0,10,7/1 11:15
580201,Aカートリッジ,0,0,0,0,0,0,5/31 19:15
580301,D-7 Me-Sカートリッジ,8,2,0,2,4,16,7/14 12:51
580302,D-7型キャップセット(L Me-C用),2,0,1,0,0,3,5/31 19:15
580303,減圧弁(L用),10,1,3,2,0,16,5/31 19:15
580400,シンプルパック全硬度(48入),2,0,0,0,0,2,5/31 19:15
