部品番号,部品名,シンワ倉庫,アラン,ゆーや,しゅん,たくや,合計,最終更新
4210049,Evo 水位センサー　L=135,0,1,0,0,0,1,5/31 19:15
4210073,bmc0048セーフティーバルブ,0,0,0,0,0,0,5/31 19:15
4210105,EVO スチームノズル先端,0,2,0,0,0,2,5/31 19:15
4210120,エボ安全弁,0,1,2,0,0,3,5/31 19:15
4210128,ガスケット EVO,0,0,3,0,0,3,7/16 18:26
4210137,EVO エレクトロニックボード,0,0,1,0,0,1,5/31 19:15
4210139,ボタン EVO2,0,0,3,0,0,3,5/31 19:15
4210140,ティーボタン基板 EVO,0,1,0,0,0,1,5/31 19:15
4210158,Evo 水位センサー　L=90,2,1,1,0,0,4,5/31 19:15
4210189,Evo スチーム防熱ガード,0,0,0,0,0,0,5/31 19:15
4210247,EVO-KEYS BUTTON,0,0,1,0,0,1,5/31 19:15
4210409,DC 2カップLowフィルター,0,0,0,0,0,0,5/31 19:15
4210468,filter gasket  H7.7   70/75SH,0,0,0,0,0,0,5/31 19:15
4210470,フィルターホルダーガスケットH6.5,2,1,0,0,0,3,5/31 19:15
4210523,ディスプレイ EVO2,0,0,1,0,0,1,5/31 19:15
4210570,EVO2コントロールボード,0,1,2,0,0,3,5/31 19:15
4211056,ディスプレイカード EVO2,0,1,0,0,0,1,5/31 19:15
4211100,EVO マノメーター抽出圧,0,0,0,0,0,0,5/31 19:15
4211101,EVO マノメーター蒸気圧,0,0,0,0,0,0,5/31 19:15
4211132,Evo 温度センサー,0,1,2,0,0,3,5/31 19:15
4211325,コントロールボード PRO,0,1,1,0,0,2,5/31 19:15
4670008,グラインダー ボタンパネル,1,0,0,0,0,1,5/31 19:15
4670016,DC‐ONE キーボード ディスプレイ,1,0,0,0,0,1,5/31 19:15
4670215,ミル刀　DC-ONE,0,0,0,0,0,0,5/31 19:15
6319000,K30 分圧器,0,0,0,0,0,0,5/31 19:15
6715000,グラインディングディスクK30,1,1,1,0,0,3,5/31 19:15
7244000,Display K30,0,0,0,0,0,0,5/31 19:15
8388000,K30 スモールPARTSセット フロントプレート,2,0,0,0,0,2,5/31 19:15
8389000,K30 プロセッサーボート,0,0,1,0,0,1,5/31 19:15
9000308,シリコンホース 排水ホース,4,1,0,0,3,8,7/1 12:34
322300199,#300199 Spout K32S,0,0,0,0,0,0,5/31 19:15
322306723,k30 ダイアル,1,0,0,0,0,1,5/31 19:15
322308551,Push Button ""Double Shot"",0,0,0,0,0,0,5/31 19:15
322308552,#308552 Push Button ""Single Shot"",0,0,1,0,0,1,5/31 19:15
3271500840,コンタクターB&J 240V AC,0,0,1,0,2,3,5/31 19:15
3271500986,Element 2.8kw 200v butterfly,1,1,1,1,2,6,7/1 12:16
3271501218,UC-10 抽出ボタン,3,0,1,0,3,7,5/31 19:15
3271501221,PB プッシュボタン,2,0,1,0,2,5,7/16 13:04
3271501542,ポンプ uc-10,0,0,0,0,0,0,5/31 19:15
3271502000,#1502000 Therminal 6mm,0,0,0,0,2,2,5/31 19:15
3271502075,ターミナルスイッチ,2,0,1,0,2,5,5/31 19:15
3271502087,過昇防止スイッチ　T10,1,0,0,0,1,2,5/31 19:15
3271502147,バルブディスペンスソルノイドプラグ,4,0,1,0,1,6,5/31 19:15
3271502148,PB 取出しバルブ,3,0,1,0,2,6,7/16 13:05
3271502192,PB 給水電磁弁,2,1,0,0,2,5,7/16 13:01
3271600345,T10 メイン基板,1,0,1,0,1,3,6/18 17:24
3271600354,PB  PCB Eco Slave,2,0,0,0,2,4,7/16 12:59
3271600357,PCB357 スペアキット,2,0,1,0,1,4,7/14 19:02
3271600691,PB サーミスターASSY,2,0,2,1,1,6,7/1 12:16
3271800690,water intret horse white,0,0,0,0,0,0,5/31 19:15
3271801427,PBファンシアプラスチックミドル,1,1,1,0,0,3,5/31 19:15
3272100155,T10 抽出レバー,0,0,0,0,1,1,7/12 12:08
3272300272,PB ドリップトレイ,1,1,1,0,1,4,5/31 19:15
3272301463,水位センサー40mm,3,0,0,0,2,5,5/31 19:15
32716003661,パワーサプライ,1,1,0,0,1,3,7/16 13:01
25722,フロントサイドパネル　左,0,1,0,0,0,1,6/4 11:01
46211,"SP-SET Assy, MMI XT6-XGA V2ディスプレイ",0,1,0,1,0,2,7/15 12:26
29188,グラインダー1 XT8,1,0,0,0,0,1,6/11 10:50
31566,コントロールボード EST-HPG,1,0,0,0,0,1,6/11 10:51
26417,Metal strip 0.8×8×154,3,0,0,0,0,3,6/26 15:07
20857,BUMP RUBBER,0,0,0,0,0,0,6/29 13:56
48841,Jキット,26,11,3,6,5,51,7/17 15:44
40314,コンデンサ6μF 450v,0,0,1,0,0,1,7/8 16:56
48005,uc10 新型ポンプ,0,0,0,0,1,1,7/15 10:10
45378,CT MC-18,2,0,0,0,0,2,7/16 08:32
